"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放頻率","平均股利(元)","2017發放年度","2018發放年度","2019發放年度","2020發放年度","2021發放年度","2022發放年度","2023發放年度","2024發放年度","2025發放年度","2026發放年度"
="1463","強盛新","01/09","17.55","-0.1","-0.57","年","0","0","0","0","0","0","0","0","0","0",""
="1464","得力","01/09","11.15","0","0","年","0.164","0.433","0","0","0","0","0","0.6","0","0.44",""
="1465","偉全","01/09","12.55","-0.05","-0.4","年","0","0","0","0","0","0","0","0","0","0",""
="1466","聚隆","01/09","14","+0.05","+0.36","年","0","0","0","0","0","0","0","0","0","0",""
="1467","南緯","01/09","8.2","+0.2","+2.5","年","0","0","0","0","0","0","0","0","0","0",""
="1468","昶和","01/09","11.7","-0.2","-1.68","年","0","0","0","0","0","0","0","0","0","0",""
="1471","首利","01/09","9.78","-0.27","-2.69","年","0","0","0","0","0","0","0","0","0","0",""
="1472","三洋實業","01/09","90.1","+0.9","+1.01","年","0","0","0","0","0","0","0","0","0","0",""
="1473","台南","01/09","24.15","0","0","年","0","0","0","0","0","0","0","0","0","0",""
="1474","弘裕","01/09","10.35","0","0","年","0","0","0","0","0","0","0","0","0","0",""
="1475","業旺","01/09","31.7","+0.65","+2.09","年","0","0","0","0","0","0","0","0","0","0",""
="1476","儒鴻","01/09","405.5","+1.5","+0.37","年","0.022","0.2","0","0","0","0","0","0","0","0",""
="1503","士電","01/09","174","+2","+1.16","年","0","0","0","0","0","0","0","0","0","0",""
="1504","東元","01/09","83.4","+1.8","+2.21","年","0","0","0","0","0","0","0","0","0","0",""
="1506","正道","01/09","12","+0.3","+2.56","年","0","0","0","0","0","0","0","0","0","0",""
="1512","瑞利","01/09","7.36","-0.03","-0.41","年","0","0","0","0","0","0","0","0","0","0",""
="1513","中興電","01/09","146.5","+1.5","+1.03","年","0","0","0","0","0","0","0","0","0","0",""
="1514","亞力","01/09","97.8","+1.2","+1.24","年","0.278","0","0","0.3","0.5","0.5","0.5","0.3","0.198","0.2",""
="1515","力山","01/09","27","0","0","年","0","0","0","0","0","0","0","0","0","0",""
="1516","川飛","01/09","21.25","-1.15","-5.13","年","0.355","0.371","0.495","0.457","0.313","0.375","0","0.879","0.306","0",""
="1517","利奇","01/09","10.85","-0.15","-1.36","年","0","0","0","0","0","0","0","0","0","0",""
="1519","華城","01/09","786","+51","+6.94","年","0.222","0","0","0","0","0","0","0","1","1",""
="1521","大億","01/09","23.8","+0.5","+2.15","年","0","0","0","0","0","0","0","0","0","0",""
="1522","堤維西","01/09","45.45","+1.05","+2.36","年","0","0","0","0","0","0","0","0","0","0",""
"1522A","堤維西甲特","01/09","49","0","0","年","0","","","","","","0","0","0","0",""
="1524","耿鼎","01/09","30.05","-0.25","-0.83","年","0","0","0","0","0","0","0","0","0","0",""
="1525","江申","01/09","63.7","+0.2","+0.31","年","0","0","0","0","0","0","0","0","0","0",""
="1527","鑽全","01/09","32.95","+0.3","+0.92","年","0","0","0","0","0","0","0","0","0","0",""
="1528","恩德","01/09","21.95","+0.95","+4.52","年","0","0","0","0","0","0","0","0","0","0",""
="1529","樂事綠能","01/09","19.4","+0.5","+2.65","年","0.15","0","0","0","0","0","0.7","0.35","0.3","0",""
="1530","亞崴","01/09","27.5","+0.35","+1.29","年","0","0","0","0","0","0","0","0","0","0",""
="1531","高林股","01/09","11.95","-0.1","-0.83","年","0","0","0","0","0","0","0","0","0","0",""
="1532","勤美","01/09","25.6","-0.15","-0.58","年","0","0","0","0","0","0","0","0","0","0",""
="1533","車王電","01/09","31.7","-0.3","-0.94","年","0","0","0","0","0","0","0","0","0","0",""
="1535","中宇","01/09","53.1","-0.1","-0.19","年","0","0","0","0","0","0","0","0","0","0",""
="1537","廣隆","01/09","123","0","0","年","0","0","0","0","0","0","0","0","0","0",""
="1538","正峰","01/09","26.3","+0.45","+1.74","年","0","0","0","0","0","0","0","0","0","0",""
="1539","巨庭","01/09","17.05","+0.05","+0.29","年","0","0","0","0","0","0","0","0","0","0",""
="1540","喬福","01/09","22.8","+0.1","+0.44","年","0","0","0","0","0","0","0","0","0","0",""
="1541","錩泰","01/09","23","-0.1","-0.43","年","0","0","0","0","0","0","0","0","0","0",""
="1558","伸興","01/09","103.5","0","0","年","0","0","0","0","0","0","0","0","0","0",""
="1560","中砂","01/09","409.5","-3","-0.73","年","0","0","0","0","0","0","0","0","0","0",""
="1563","巧新","01/09","47.7","-0.7","-1.45","年","0.111","0","0","0","0","0","1","0","0","0",""
="1565","精華","01/09","114","-2.5","-2.15","年","0","0","0","0","0","0","0","0","0","0",""
="1568","倉佑","01/09","23.6","+1.2","+5.36","年","0","0","0","0","0","0","0","0","0","0",""
="1569","濱川","01/09","51.1","0","0","年","0","0","0","0","0","0","0","0","0","0",""
="1570","力肯","01/09","30.2","-0.5","-1.63","年","0","0","0","0","0","0","0","0","0","0",""
="1580","新麥","01/09","133","0","0","年","0.039","0","0.35","0","0","0","0","0","0","0",""
="1582","信錦","01/09","63.3","-0.8","-1.25","年","0","0","0","0","0","0","0","0","0","0",""
="1583","程泰","01/09","44.4","+0.4","+0.91","年","0","0","0","0","0","0","0","0","0","0",""
="1584","精剛","01/09","23.1","+0.3","+1.32","年","0","0","0","0","0","0","0","0","0","0",""
="1586","和勤","01/09","30.4","+1.25","+4.29","年","0.152","0","0.1","0.5","0.489","0.2","0","0.05","0.03","0",""
="1589","永冠-KY","01/09","16.35","-0.3","-1.8","年","0","0","0","0","0","0","0","0","0","0",""
="1590","亞德客-KY","01/09","1000","+18","+1.83","年","0","0","0","0","0","0","0","0","0","0",""
="1595","川寶","01/09","39.6","+0.45","+1.15","年","0","0","0","0","0","0","0","0","0","0",""
="1598","岱宇","01/09","19.6","-0.4","-2","年","0.094","0","0","0.35","0","0","0","0","0.5","0",""
="1599","宏佳騰","01/09","28.25","+0.15","+0.53","年","0.502","2","0","2","0.518","0","0","0","0","0",""
="1603","華電","01/09","38.35","+0.95","+2.54","年","0","0","0","0","0","0","0","0","0","0",""
="1604","聲寶","01/09","24","+0.1","+0.42","年","0","0","0","0","0","0","0","0","0","0",""
="1605","華新","01/09","37.6","-0.7","-1.83","年","0","0","0","0","0","0","0","0","0","0",""
="1608","華榮","01/09","37.3","-0.55","-1.45","年","0","0","0","0","0","0","0","0","0","0",""
="1609","大亞","01/09","38.1","-0.2","-0.52","年","0.233","0","0","0.4","0","0.35","0.6","0.096","0.5","0.15",""
="1611","中電","01/09","13.05","+0.1","+0.77","年","0","0","0","0","0","0","0","0","0","0",""
="1612","宏泰","01/09","34.1","-0.15","-0.44","年","0","0","0","0","0","0","0","0","0","0",""
="1614","三洋電","01/09","34.15","+0.15","+0.44","年","0","0","0","0","0","0","0","0","0","0",""
="1615","大山","01/09","48.3","-0.55","-1.13","年","0.66","0","0","0","1","1.2","0.8","1","1.44","0.5",""
