"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放頻率","平均股利(元)","2017發放年度","2018發放年度","2019發放年度","2020發放年度","2021發放年度","2022發放年度","2023發放年度","2024發放年度","2025發放年度","2026發放年度"
="4536","拓凱","01/08","163.5","+1","+0.62","半年","6.2","6","3","5.5","6","5","6","11","8.5","11","0"
="4714","永捷","01/08","16.6","-0.3","-1.78","半年","0.302","0.186","0.475","1.581","0.097","0.086","0.4","0","0","0.2","0"
="4763","材料*-KY","01/08","51.8","-1.1","-2.08","半年","7.299","5","5","4","4.754","4.783","8.825","9.057","29.07","2.5","0"
="4764","雙鍵","01/08","122.5","-9","-6.84","半年","1.232","2.2","2.7","5","1.222","0.3","0.4","0.5","0","0","0"
="4923","力士","01/08","27.7","-0.1","-0.36","半年","1.524","0.3","0","2.8","0","1.107","4.507","3","2","0",""
="4924","欣厚-KY","01/08","10.95","-0.35","-3.1","半年","0","0","0","0","0","0","0","0","0","0",""
="4960","誠美材","01/08","13.45","-0.45","-3.24","半年","0.08","0","0","0","0","0","0.5","0.3","0","0","0"
="4966","譜瑞-KY","01/08","619","+2","+0.32","半年","17.14","8.881","12.22","12.31","15.07","21.74","32.48","30.77","12.77","16.47","8.71"
="5283","禾聯碩","01/08","59.1","-0.8","-1.34","半年","5.986","3","7","9","8.164","8","8","8","8","0.5","0.2"
="5284","jpp-KY","01/08","278.5","+5.5","+2.01","半年","2.391","2.557","3.17","2.6","1.9","2.1","2.3","2.8","5","1.484","0"
="5287","數字","01/08","169","+0.5","+0.3","半年","12.62","15","15.5","12.5","12.8","12","15.8","10.1","9.56","10.3",""
="5288","豐祥-KY","01/08","147","-5","-3.29","半年","5.03","4","4","5","5.5","4","4.5","7.055","7.738","8.512","0"
="5432","新門","01/08","169","-12","-6.63","半年","0.35","0","0","0.5","0","0","0","1","1","1","0"
="5438","東友","01/08","22.15","-0.5","-2.21","半年","0.707","1.2","1.5","1.05","0.44","0.1","0.41","0.51","0.5","0.65",""
="5483","中美晶","01/08","115","-8","-6.5","半年","5.48","1.5","3","3","5","9","8","9","8.8","6.5","1"
="5493","三聯","01/08","90.1","-4.1","-4.35","半年","2.098","2","1.6","1.75","2.534","2","3.1","2.8","2.6","2.6","0"
="5522","遠雄","01/08","74.5","+1.1","+1.5","半年","3.834","3.8","2.5","3","4.61","4.5","6.5","4","3.5","2.1",""
="5536","聖暉*","01/08","786","-16","-2","半年","12.07","8.014","13","15","15","12","15","11.68","10.5","15","5.5"
="6021","美好證","01/08","28","+0.85","+3.13","半年","0.488","0","0.35","1","0","0","0","0.3","0.9","1.84",""
="6121","新普","01/08","365","+4","+1.11","半年","18.49","6","10","11.5","14.5","19.1","39.1","24.5","20.8","20.9",""
="6184","大豐電","01/08","47.35","+0.15","+0.32","半年","2.633","0.5","2.5","2.5","3","3","3","3","3","3.194",""
="6188","廣明","01/08","117","-1","-0.85","半年","2.211","1.5","1.2","1.5","2","1","2.8","3.2","3.2","3.5",""
="6208","日揚","01/08","45.05","0","0","半年","1.61","0.8","1.4","1.7","1.7","1.99","2.2","2.7","0","2",""
="6259","百徽","01/08","17.9","-0.1","-0.56","半年","0.12","0","0","0","0","0","0.194","0.689","0.216","0.099","0"
="6261","久元","01/08","70.2","-2.7","-3.7","半年","3.52","3.1","4.1","3","3","4","5","5","4","4","0"
="6271","同欣電","01/08","123","-6.5","-5.02","","4.803","5.911","6","6","2.445","5.5","9","7.77","2.4","3","0"
="6438","迅得","01/08","134.5","-4","-2.89","半年","4.433","2","4","2.8","1.525","4.145","6.302","8.847","4.443","5.832",""
="6464","台數科","01/08","76.6","-0.1","-0.13","半年","3.636","2","5","5.507","4.015","2.65","4.5","5","4.368","3.316","0"
="6472","保瑞","01/08","542","+47","+9.49","","4.58","0.8","0.5","3","2","2","3.5","8","12","14","0"
="6488","環球晶","01/08","450","-20","-4.26","半年","16.06","2.5","10","25","25","18","16","16","19","13",""
="6534","正瀚-創","01/08","90.3","-1.1","-1.2","半年","2.239","0.78","2.7","1","1.1","0.5","1.5","4.88","3.59","4.1",""
="6561","是方","01/08","359","-6","-1.64","半年","9.086","4.5","4.971","7.5","8","8.8","9.3","9","10.6","19.1",""
="6590","普鴻","01/08","73.5","+0.1","+0.14","半年","2.828","1.7","1.2","1.5","2.15","3.5","3.8","3.8","5","2.8",""
="6603","富強鑫","01/08","30.45","+2.75","+9.93","半年","0.258","0.299","0.591","0.499","0.099","0.05","0.3","0.3","0.145","0.297","0"
="6613","朋億*","01/08","200","-1.5","-0.74","半年","9.479","6","10","15","10","8","12","8.493","10.39","11.9","3"
="6616","特昇-KY","01/08","10.85","+0.98","+9.93","半年","0.71","0","1","1.8","2.2","2","0","0.1","0","0","0"
="6629","泰金-KY","01/08","121.5","-0.5","-0.41","半年","3.657","","","1.5","3.1","6.69","1","2.27","8.5","4.2","1.997"
="6655","科定","01/08","121.5","+1.5","+1.25","半年","5.589","2.5","1.6","2","2","16","4","6","12","4.2",""
="6672","騰輝電子-KY","01/08","88.3","-2.3","-2.54","半年","3.681","","1","3.347","5","3.2","6.6","3.6","3.35","3.35",""
="6679","鈺太","01/08","175","-2.5","-1.41","半年","5.105","","1","1.6","2.444","4.994","7.133","9","5.5","9.167",""
="6703","軒郁","01/08","107","+1","+0.94","半年","8.322","","","8","8","7.25","7.202","5.524","12.28","10",""
="6763","綠界科技*","01/08","57.2","0","0","半年","10.01","","","","9","17.2","8","15.1","18.2","1.6","0.95"
="6770","力積電","01/08","49.65","+0.45","+0.91","半年","0.591","","","","0.193","1.141","1.911","0.3","0","0",""
="6771","平和環保-創","01/08","44","0","0","半年","3.783","","","","4","3","4.2","4","4","3.5",""
="6782","視陽","01/08","181","+3.5","+1.97","半年","2.986","","","","2.8","1.1","4","5.5","2.4","5.1","0"
="6899","創為精密","01/08","53.5","+0.2","+0.38","半年","1.822","","","","","","0","3.5","3.183","2.429","0"
="7714","創泓科技","01/08","169.5","+5.5","+3.35","半年","3.5","","","","","","","","2.5","4.5",""
="7723","築間","01/08","32.6","-0.4","-1.21","半年","4.5","","","","","","","3.5","8","2",""
="7777","能率亞洲","01/08","24.35","-1.15","-4.51","半年","0.075","","","","","","","","0.15","0",""
="8070","長華*","01/08","45.2","+0.3","+0.67","半年","6.369","10","11","16.1","8.76","1.397","2.35","2.34","2.66","2.71",""
="8102","傑霖科技","01/08","58.3","-1.9","-3.16","半年","2.8","","","","","","","1.35","3","4.05",""
="8249","菱光","01/08","49.95","-0.95","-1.87","半年","1.475","1.6","1.6","1.3","1.2","1.3","1.289","1.878","1.092","2.017",""
="8299","群聯","01/08","1700","+25","+1.49","半年","18.01","14","17","13","13","33","23.28","8.876","8.659","31.31",""
="8426","紅木-KY","01/08","27.5","-0.05","-0.18","半年","1.07","4","1.7","0","0","0","0","0","2.5","2.5","0"
="8431","匯鑽科","01/08","78.8","+0.7","+0.9","","0.33","0","0","0","0","0.8","2.002","0.1","0.3","0.1","0"
="8444","綠河-KY","01/08","11.25","-0.35","-3.02","半年","1.067","3.1","4.2","2.004","0","0","0.3","0","0","0",""
="8446","華研","01/08","96.1","+0.3","+0.31","半年","6.167","5","5","10.5","8","3.5","4.5","5","6","8",""
="8941","關中","01/08","44","-0.25","-0.56","半年","3.5","3","8","3","1","2.5","3","8","5","1.5","0"
="8942","森鉅","01/08","34.15","-0.25","-0.73","半年","3.593","5.245","3.019","5.564","4","4.5","4.5","3.5","4.1","1.5","0"
="910322","康師傅-DR","01/08","23.15","-0.9","-3.74","半年","1.155","0.255","0.368","1.008","1.272","2.506","2.605","1.012","0","1.374",""
="9105","泰金寶-DR","01/08","5.77","-0.11","-1.87","半年","0.081","0.089","0.094","0.09","0.048","0.026","0.024","0.045","0.129","0.183",""
="910861","神州-DR","01/08","5.34","+0.07","+1.33","半年","0.124","0","0","0.062","0.189","0.214","0.286","0.108","0.144","0.114",""
="9802","鈺齊-KY","01/08","100","+0.1","+0.1","半年","4.361","3.195","4.113","3.626","5.519","3.8","4.171","7.19","5","5","2"
