"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放頻率","平均股利(元)","2017發放年度","2018發放年度","2019發放年度","2020發放年度","2021發放年度","2022發放年度","2023發放年度","2024發放年度","2025發放年度","2026發放年度"
="2535","達欣工","01/08","64.1","+0.2","+0.31","年","2.273","1.584","1.598","1.621","1.392","2.508","2.5","2.5","3","3.75",""
="2536","宏普","01/08","25.35","-0.1","-0.39","年","0.944","2.1","1.5","1","1.2","1.2","0","0.5","0.5","0.5",""
="2537","聯上發","01/08","11.9","0","0","年","0.189","0.4","0","0","0","0.4","0.9","0","0","0",""
="2538","基泰","01/08","11.1","-0.1","-0.89","年","0.644","1","0.8","0.6","0.5","0.5","0.5","0.5","0.7","0.7",""
="2539","櫻花建","01/08","47.7","+0.65","+1.38","年","0.643","1.6","1.5","0.2","0.99","0.199","0.199","0.199","0.4","0.5",""
="2540","愛山林","01/08","46.45","-0.7","-1.48","年","0.944","0","0","0","0","1","3.5","1.5","1.5","1",""
="2542","興富發","01/08","39.35","+0.4","+1.03","年","2.668","5","3.5","4.5","2","2.005","4.007","0.5","0.5","2",""
="2545","皇翔","01/08","38.95","+0.35","+0.91","年","3.467","4.5","1.5","1.8","1.2","4.5","6.3","4.6","2.3","4.5",""
="2546","根基","01/08","87.4","+0.1","+0.11","年","3.023","1.5","2.16","3","3","3.6","2.6","4.15","4","3.2",""
="2547","日勝生","01/08","10.75","+0.05","+0.47","年","0.34","0","0","0.8","0.608","0.62","0.2","0","0.25","0.58",""
="2548","華固","01/08","114.5","+0.5","+0.44","年","6.478","5.6","5.2","5","7.5","7","7.5","7.5","7.5","5.5",""
="2596","綠意","01/08","37.6","+0.35","+0.94","年","1.433","2.2","2","2","1","1.2","1.5","1","1","1",""
="2597","潤弘","01/08","177.5","+6","+3.5","年","6.028","4","2.35","4.8","4.5","6.5","9","10","5.4","7.7",""
="2601","益航","01/08","5.53","0","0","年","0.056","0","0","0.1","0.4","0","0","0","0","0",""
="2603","長榮","01/08","193.5","-2","-1.02","年","14.79","0","0.2","0","0","2.487","18","70","9.965","32.5",""
="2605","新興","01/08","26.95","-0.2","-0.74","年","0.672","0.7","0.6","0.2","0.5","0.5","1","0.5","0.75","1.3",""
="2606","裕民","01/08","61.4","+0.2","+0.33","年","2.05","0.75","1.2","1.8","1.9","1.2","3","3","2.4","3.2",""
="2607","榮運","01/08","57.4","-0.4","-0.69","年","0.633","0.35","0.35","0.35","0.3","0.3","0.4","1.25","1.1","1.3",""
="2608","嘉里大榮","01/08","33.05","0","0","年","1.704","1.5","1.6","1.56","1.45","1.68","1.65","1.65","2.6","1.65",""
="2609","陽明","01/08","56.3","-1.3","-2.26","年","5.5","0","0","0","0","0","20","20","2","7.5",""
="2610","華航","01/08","20.4","-0.35","-1.69","年","0.356","0","0.218","0.21","0","0","0.831","0.46","0.69","0.796",""
="2611","志信","01/08","14.8","-0.15","-1","年","0.606","0","0.1","0.415","0","0","1","0","2.3","1.64",""
="2612","中航","01/08","60.7","-0.6","-0.98","年","1.44","0.5","0.5","1.6","0.8","1.6","2.68","2.18","1","2.1",""
="2613","中櫃","01/08","24","-0.05","-0.21","年","0.595","0.07","0.33","0.283","0.17","0.2","1.65","1.05","0.6","1",""
="2614","東森","01/08","22.3","-0.25","-1.11","年","0.45","0","0","1","1","0.8","1","0","0","0.25",""
="2615","萬海","01/08","79.2","-1.3","-1.61","年","2.645","0.4","0.5","0.606","0.8","1","10.5","5","1.5","3.5",""
="2616","山隆","01/08","13.35","-0.05","-0.37","年","1.666","2.055","2.512","1.6","1.8","2.2","2.5","1.6","0.43","0.3",""
="2617","台航","01/08","31","-0.1","-0.32","年","1.222","0","0.7","1.3","0.8","0.9","2","2.2","1.6","1.5",""
="2618","長榮航","01/08","36.45","-0.25","-0.68","年","0.749","0.2","0.2","0.497","0.25","0","0.592","0.799","1.8","2.4",""
="2630","亞航","01/08","52.6","+1.3","+2.53","年","0.642","1.55","1.25","1","0.08","0.136","0.25","0.36","0.53","0.621",""
="2633","台灣高鐵","01/08","27.9","+0.05","+0.18","年","0.914","0.6","0.75","1.12","1.21","1.05","0.758","0.67","1.02","1.05",""
="2634","漢翔","01/08","54.9","+3.2","+6.19","年","1.01","1","1.13","1.34","1.19","0.2","0.35","1.08","1.42","1.38",""
="2637","慧洋-KY","01/08","69.5","+0.6","+0.87","年","2.906","1","0.998","1.487","1.418","1.5","5.5","6.5","2.75","5",""
="2640","大車隊","01/08","131.5","-1","-0.75","年","4.233","2.2","3.5","3.3","3.7","3.9","3.5","5","6","7",""
="2641","正德","01/08","20.8","+0.05","+0.24","年","0.374","0","0","0","0.1","0","0.8","1.497","0.482","0.491",""
="2642","宅配通","01/08","25.7","0","0","年","1.111","0.45","1.05","0.6","1.2","1.8","2.1","1.5","0.8","0.5",""
="2643","捷迅","01/08","73.8","+0.6","+0.82","年","3.754","2.287","2","2","2","4","5","7","5","4.5",""
="2645","長榮航太","01/08","151","+7","+4.86","年","3.75","","","","","","2","4","4.5","4.5",""
="2646","星宇航空","01/08","23.2","-0.1","-0.43","年","0","","","","","","","0","0","0",""
="2701","萬企","01/08","10.95","-0.05","-0.45","年","0.28","0.25","0.245","0.4","0.4","0.25","0.165","0.25","0.28","0.28",""
="2702","華園","01/08","11.8","0","0","年","0.172","0.15","0","0.2","0","0","1","0.2","0","0",""
="2704","國賓","01/08","42.55","+0.05","+0.12","年","0.389","0.7","0.4","0.4","0","0","0","0.5","1","0.5",""
="2705","六福","01/08","16.45","-0.05","-0.3","年","0","0","0","0","0","0","0","0","0","0",""
="2706","第一店","01/08","12.85","0","0","年","0.302","0.2","0.276","0.45","0.45","0.15","0.14","0.35","0.35","0.35",""
="2712","遠雄來","01/08","17.95","-0.05","-0.28","年","0.202","0.5","0.112","0","0","0.7","0","0.089","0.418","0",""
="2719","燦星旅","01/08","30.2","+0.3","+1","年","0","0","0","0","0","0","0","0","0","0",""
="2722","夏都","01/08","24.9","+0.1","+0.4","年","0.333","0.5","0.4","0.2","0.2","0.5","0.2","0.6","0.25","0.15",""
="2723","美食-KY","01/08","70.7","+0.5","+0.71","年","4.111","5","6","5","3","4","5","2.5","3.5","3",""
="2724","藝舍-KY","01/08","19.05","-1.05","-5.22","年","0","0","0","0","0","0","0","0","0","0",""
="2726","雅茗-KY","01/08","12.6","-0.1","-0.79","年","1.437","2.953","3.993","2.983","2.501","0.5","0","0","0","0",""
="2727","王品","01/08","216","+1.5","+0.7","年","6.176","3.5","5.5","4.393","4.444","4.365","0","3.848","14.94","14.59",""
="2729","瓦城","01/08","173.5","0","0","年","9.765","11.6","12.6","13.6","10","14.5","4","3.5","10","8.084",""
="2731","雄獅","01/08","167","+1.5","+0.91","年","3.389","4","5.2","3.8","2","0","0","0","8","7.5",""
="2734","易飛網","01/08","18.1","-0.2","-1.09","年","0","0","0","0","0","0","0","0","0","0",""
="2736","富野","01/08","14.45","+0.1","+0.7","年","0.078","0.3","0.1","0.1","0","0.2","0","0","0","0",""
="2739","寒舍","01/08","35.3","+0.2","+0.57","年","0.689","2.2","1","1","1","0","0","0","0","1",""
="2740","天蔥","01/08","28.65","-0.35","-1.21","年","0","0","0","0","0","0","0","0","0","0",""
="2743","山富","01/08","80.2","-0.2","-0.25","年","0.867","0","1.2","0.8","0.8","0","0","0","3","2",""
="2745","五福","01/08","108","-0.5","-0.46","年","1.407","0.297","1.764","0.3","0.3","0","0","0","3.5","6.5",""
="2748","雲品","01/08","42.5","+0.15","+0.35","年","1.752","2.5","2.75","2.75","1","1","0.5","1.266","2","2",""
="2752","豆府","01/08","205.5","-1","-0.48","年","8.714","","","5","5.2","9","4.5","10","13.3","14",""
="2754","亞洲藏壽司","01/08","84.1","-0.1","-0.12","年","0.798","","","0.34","0.5","0.499","0.45","1.5","1.5","0.8",""
="2755","揚秦","01/08","120","0","0","年","2.199","","","2.22","1","2","2","1.6","3.6","2.97",""
="2801","彰銀","01/08","20.5","+0.05","+0.24","年","0.486","0.42","0.45","0.64","0.4","0.36","0.5","0.55","0.55","0.5",""
="2812","台中銀","01/08","20.8","+0.05","+0.24","年","0.349","0.55","0.45","0.28","0.28","0.24","0.25","0.3","0.4","0.39",""
="2816","旺旺保","01/08","28.85","+0.05","+0.17","年","0.642","0","0.7","0.9","0.88","0.8","1","0","0","1.5",""
="2820","華票","01/08","16.4","-0.05","-0.3","年","0.76","0.84","0.71","0.79","0.72","0.87","0.9","0.5","0.73","0.78",""
="2832","台產","01/08","50","+0.15","+0.3","年","1.117","0.9","1.1","0.9","1","1.1","0.75","1","1.3","2",""
="2834","臺企銀","01/08","16.15","+0.1","+0.62","年","0.174","0.102","0.268","0.3","0.2","0.1","0.1","0.1","0.2","0.2",""
="2836","高雄銀","01/08","12.15","0","0","年","0.286","0.6","0.13","0.11","","0.45","0.4","0","0.3","0.3",""
"2836A","高雄銀甲特","01/08","23.8","0","0","年","0.769","","","","","","0.752","0.775","0.775","0.775",""
="2838","聯邦銀","01/08","19","-0.05","-0.26","年","0.194","0.45","0.4","0","0.1","0","0.15","0.1","0.2","0.35",""
"2838A","聯邦銀甲特","01/08","54.5","-0.1","-0.18","年","2.205","","0.454","2.4","2.4","2.4","2.4","2.4","2.559","2.631",""
="2845","遠東銀","01/08","12.8","-0.05","-0.39","年","0.439","0.42","0.439","0.45","0.468","0.326","0.43","0.409","0.506","0.5",""
="2849","安泰銀","01/08","13.45","0","0","年","0.617","0.6","0.6","1","0.73","0.73","0.73","0.4","0.38","0.38",""
="2850","新產","01/08","116","+0.5","+0.43","年","3.068","1.51","1.82","2.65","1.8","1.95","3.2","2.54","4.99","7.15",""
="2851","中再保","01/08","26.6","+0.1","+0.38","年","1.078","0.5","1","0.9","0.9","1.3","1.8","0","1.4","1.9",""
="2852","第一保","01/08","27.7","0","0","年","0.912","0.65","0.6","0.49","0.96","0.35","1.21","0.72","1.13","2.1",""
="2855","統一證","01/08","26.8","+1.7","+6.77","年","1.011","0","1.2","0.699","1","1.5","1.89","0.39","1.32","1.1",""
="2867","三商壽","01/08","7.8","-0.05","-0.64","年","0","0","0","0","0","0","0","0","0","0",""
="2880","華南金","01/08","31.5","+0.05","+0.16","年","0.71","0.7","0.5","0.545","0.56","0.265","0.78","0.59","1.2","1.25",""
="2881","富邦金","01/08","97","+0.9","+0.94","年","2.561","2","2.3","2","2","3","3.5","1.5","2.5","4.25",""
"2881A","富邦特","01/08","63.4","0","0","年","2.431","1.707","2.46","2.46","2.46","2.46","2.46","2.46","2.661","2.749",""
"2881B","富邦金乙特","01/08","62","+0.4","+0.65","年","2.097","","","1.722","2.16","2.16","2.16","2.16","2.16","2.16",""
"2881C","富邦金丙特","01/08","53.3","0","0","年","1.433","","","","","","0.33","1.8","1.8","1.8",""
="2882","國泰金","01/08","76.4","+0.8","+1.06","年","2.267","2","2.5","1.5","2","2.5","3.5","0.9","2","3.5",""
"2882A","國泰特","01/08","60.9","+0.2","+0.33","年","2.072","0.15","2.28","2.28","2.28","2.28","2.28","2.28","2.296","2.526",""
"2882B","國泰金乙特","01/08","60.3","+0.3","+0.5","年","1.982","","","1.097","2.13","2.13","2.13","2.13","2.13","2.13",""
="2883","凱基金","01/08","17.6","+0.15","+0.86","年","0.544","0.5","0.6","0.3","0.6","0.55","1","0","0.501","0.85",""
"2883B","凱基金乙特","01/08","7.86","-0.01","-0.13","年","0.178","","","","","","0.002","0","0.355","0.355",""
="2884","玉山金","01/08","32.8","-0.45","-1.35","年","0.719","0.491","0.613","0.71","0.791","0.61","0.67","0.189","1.2","1.2",""
="2885","元大金","01/08","41.1","+0.9","+2.24","年","0.967","0.448","0.556","0.9","0.65","1.2","1.5","0.8","1.1","1.55",""
="2886","兆豐金","01/08","40.45","+0.1","+0.25","年","1.516","1.42","1.5","1.7","1.7","1.58","1.4","1.24","1.5","1.6",""
="2887","台新新光金","01/08","20.75","-0.1","-0.48","年","0.59","0.525","0.542","0.508","0.566","0.555","0.605","0.51","0.6","0.9",""
