"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放頻率","平均股利(元)","2017發放年度","2018發放年度","2019發放年度","2020發放年度","2021發放年度","2022發放年度","2023發放年度","2024發放年度","2025發放年度","2026發放年度"
="6208","日揚","01/08","45.05","0","0","半年","0","0","0","0","0","0","0","0","0","0",""
="6259","百徽","01/08","17.9","-0.1","-0.56","半年","0.192","0","0","0","0","0","0","0.492","0.981","0.45","0"
="6261","久元","01/08","70.2","-2.7","-3.7","半年","0","0","0","0","0","0","0","0","0","0","0"
="6271","同欣電","01/08","123","-6.5","-5.02","","0.3","0","0","0","0","0","0","3","0","0","0"
="6438","迅得","01/08","134.5","-4","-2.89","半年","0","0","0","0","0","0","0","0","0","0",""
="6464","台數科","01/08","76.6","-0.1","-0.13","半年","0.165","0.4","0.1","0.1","0.201","0.45","0.1","0","0","0.301","0"
="6472","保瑞","01/08","542","+47","+9.49","","1.446","0","0","2.999","3","2.465","1.004","2.989","0","1.998","0"
="6488","環球晶","01/08","450","-20","-4.26","半年","0","0","0","0","0","0","0","0","0","0",""
="6534","正瀚-創","01/08","90.3","-1.1","-1.2","半年","1.511","6.98","1.218","3.4","0.5","0","1.5","0","0","0",""
="6561","是方","01/08","359","-6","-1.64","半年","0.111","0","0","0","0","0","0","1","0","0",""
="6590","普鴻","01/08","73.5","+0.1","+0.14","半年","0.167","0","0","0","0","0","0","0","0","1.5",""
="6603","富強鑫","01/08","30.45","+2.75","+9.93","半年","0.115","0.399","0.197","0","0","0.05","0.2","0.3","0","0","0"
="6613","朋億*","01/08","200","-1.5","-0.74","半年","0","0","0","0","0","0","0","0","0","0","0"
="6616","特昇-KY","01/08","10.85","+0.98","+9.93","半年","0.05","0","0","0","0","0","0","0.5","0","0","0"
="6629","泰金-KY","01/08","121.5","-0.5","-0.41","半年","0","","","0","0","0","0","0","0","0","0"
="6655","科定","01/08","121.5","+1.5","+1.25","半年","0.033","0.3","0","0","0","0","0","0","0","0",""
="6672","騰輝電子-KY","01/08","88.3","-2.3","-2.54","半年","0","","0","0","0","0","0","0","0","0",""
="6679","鈺太","01/08","175","-2.5","-1.41","半年","0","","0","0","0","0","0","0","0","0",""
="6703","軒郁","01/08","107","+1","+0.94","半年","0.928","","","1.266","0","0","1.184","1.505","0.542","2",""
="6763","綠界科技*","01/08","57.2","0","0","半年","0.286","","","","0","1.5","0.5","0","0","0","0"
="6770","力積電","01/08","49.65","+0.45","+0.91","半年","0","","","","0","0","0","0","0","0",""
